,datetime,ticker,earliest_vcp_scanned_date,max_consolidations_pct,consolidation_start_date,consolidation_end_date,total_duration,number_of_consolidations,contraction_ratio,first_contraction_pct,first_contraction_duration,first_contraction_price,latest_contraction_pct,latest_contraction_duration,latest_contraction_price,MERGEDCONTRACTION_0_end_dt,MERGEDCONTRACTION_0_support_price,MERGEDCONTRACTION_0_start_dt,MERGEDCONTRACTION_0_resis_price,MERGEDCONTRACTION_0_contraction_pct,MERGEDCONTRACTION_0_delta_t,MERGEDCONTRACTION_1_end_dt,MERGEDCONTRACTION_1_support_price,MERGEDCONTRACTION_1_start_dt,MERGEDCONTRACTION_1_resis_price,MERGEDCONTRACTION_1_contraction_pct,MERGEDCONTRACTION_1_delta_t,MERGEDCONTRACTION_2_end_dt,MERGEDCONTRACTION_2_support_price,MERGEDCONTRACTION_2_start_dt,MERGEDCONTRACTION_2_resis_price,MERGEDCONTRACTION_2_contraction_pct,MERGEDCONTRACTION_2_delta_t,MERGEDCONTRACTION_3_end_dt,MERGEDCONTRACTION_3_support_price,MERGEDCONTRACTION_3_start_dt,MERGEDCONTRACTION_3_resis_price,MERGEDCONTRACTION_3_contraction_pct,MERGEDCONTRACTION_3_delta_t,MERGEDCONTRACTION_4_end_dt,MERGEDCONTRACTION_4_support_price,MERGEDCONTRACTION_4_start_dt,MERGEDCONTRACTION_4_resis_price,MERGEDCONTRACTION_4_contraction_pct,MERGEDCONTRACTION_4_delta_t,MERGEDCONTRACTION_5_end_dt,MERGEDCONTRACTION_5_support_price,MERGEDCONTRACTION_5_start_dt,MERGEDCONTRACTION_5_resis_price,MERGEDCONTRACTION_5_contraction_pct,MERGEDCONTRACTION_5_delta_t,SW_stage2,volume_contraction_condition,support_mrsquare,support_slope,support_rsquare,resis_mrsquare,resis_slope,resis_rsquare,MM_Stage2Filtered,RSSCORE,SCTRSCORE,MRSQUARE,MERGEDCONTRACTION_6_end_dt,MERGEDCONTRACTION_6_support_price,MERGEDCONTRACTION_6_start_dt,MERGEDCONTRACTION_6_resis_price,MERGEDCONTRACTION_6_contraction_pct,MERGEDCONTRACTION_6_delta_t,is_break_out_latest_contraction,is_break_out_first_contraction,adjclose,adjclose_date
322,2022-05-02,CHE,2022-04-04,0.1749309507479562,2021-12-30,2022-04-27,118,2,1.7539322655533545,0.1749309507479562,56,539.47,0.0997354346295132,20,525.39,2022-02-24,445.1,2021-12-30,539.47,0.1749309507479562,56 days,2022-04-27,472.99,2022-04-07,525.39,0.0997354346295132,20 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.001010646393344,0.001010646393344,1.0,-0.0002663233718052,-0.0002663233718052,1.0,,,,,,,,,,,False,False,491.39,2022-04-29
323,2022-04-29,CHEF,2022-04-04,0.3056803170409511,2021-11-05,2022-04-11,157,2,3.716154105067228,0.3056803170409511,123,37.85,0.0822561692126909,7,34.04,2022-03-08,26.28,2021-11-05,37.85,0.3056803170409511,123 days,2022-04-11,31.24,2022-04-04,34.04,0.0822561692126909,7 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0055510788790402,0.0055510788790402,1.0,-0.00067107001321,-0.00067107001321,1.0,,,,,,,,,,,True,False,36.6,2022-04-29
327,2022-05-02,CHRW,2022-04-04,0.2281283614198638,2022-01-06,2022-04-25,109,4,5.804943888577968,0.2281283614198638,29,111.56,0.0392979778710416,5,104.84,2022-02-04,86.11,2022-01-06,111.56,0.2281283614198638,29 days,2022-04-07,98.57,2022-03-30,111.41,0.1152499775603627,8 days,2022-04-13,99.69,2022-04-08,104.72,0.0480328495034377,5 days,2022-04-25,100.72,2022-04-20,104.84,0.0392979778710416,5 days,,,,,,,,,,,,,True,True,0.0021904539296353,0.00220788525397,0.9921049681801616,-0.0002514032001765,-0.0005135262483112,0.4895625121467237,,,,,,,,,,,True,False,106.15,2022-04-29
331,2022-04-18,CI,2022-04-04,0.2913712025080242,2021-05-10,2022-03-14,308,4,4.219827888064389,0.2913712025080242,204,267.94,0.0690471247664521,11,240.85,2021-11-30,189.87,2021-05-10,267.94,0.2913712025080242,204 days,2022-02-04,212.12,2022-01-20,243.53,0.1289779493286248,15 days,2022-02-24,217.46,2022-02-10,234.39,0.0722300439438541,14 days,2022-03-14,224.22,2022-03-03,240.85,0.0690471247664521,11 days,,,,,,,,,,,,,True,True,0.0017230069519553,0.0017250517495084,0.9988146456744478,-0.0003564810497623,-0.000381151997351,0.935272679245813,,,,,,,,,,,True,False,246.78,2022-04-29
381,2022-05-02,CPB,2022-04-04,0.2011458972784939,2021-05-10,2022-04-25,350,3,5.169100433823265,0.2011458972784939,109,48.87,0.0389121338912133,4,47.8,2021-08-27,39.04,2021-05-10,48.87,0.2011458972784939,109 days,2022-03-10,41.38,2022-01-19,46.38,0.1078050884001724,50 days,2022-04-25,45.94,2022-04-21,47.8,0.0389121338912133,4 days,,,,,,,,,,,,,,,,,,,True,True,0.0004539798213978,0.0006073561697472,0.747468856020298,-3.903738141609112e-05,-9.26022134362893e-05,0.4215599170634188,,,,,,,,,,,False,False,47.22,2022-04-29
428,2022-04-18,CXW,2022-04-04,0.3336032388663967,2021-06-17,2022-04-11,298,3,4.396091417012517,0.3336032388663967,132,12.35,0.0758853288364248,6,11.86,2021-10-27,8.23,2021-06-17,12.35,0.3336032388663967,132 days,2022-03-08,8.39,2021-11-22,11.98,0.2996661101836394,106 days,2022-04-11,10.96,2022-04-05,11.86,0.0758853288364248,6 days,,,,,,,,,,,,,,,,,,,True,True,0.0007182566467885,0.0014792759154033,0.4855460967825793,-0.0001297600486258,-0.0001374668650656,0.9439369157347326,,,,,,,,,,,True,True,12.43,2022-04-29
436,2022-04-26,DAR,2022-04-04,0.3147243545010467,2021-11-01,2022-04-11,161,3,2.637802736651601,0.3147243545010467,84,85.98,0.1193120745252598,19,83.73,2022-01-24,58.92,2021-11-01,85.98,0.3147243545010467,84 days,2022-03-15,69.62,2022-03-03,80.21,0.1320284253833685,12 days,2022-04-11,73.74,2022-03-23,83.73,0.1193120745252598,19 days,,,,,,,,,,,,,,,,,,,True,True,0.0032912418329293,0.0033124819214374,0.9935878628134844,-0.0001578891795584,-0.0003126957301244,0.504929119101058,,,,,,,,,,,False,False,73.39,2022-04-29
441,2022-04-29,DCO,2022-04-04,0.3040068201193521,2021-05-07,2022-04-06,334,3,5.139793115360926,0.3040068201193521,266,58.65,0.0591466764328877,12,54.61,2022-01-28,40.82,2021-05-07,58.65,0.3040068201193521,266 days,2022-02-24,43.09,2022-02-18,46.96,0.0824105621805791,6 days,2022-04-06,51.38,2022-03-25,54.61,0.0591466764328877,12 days,,,,,,,,,,,,,,,,,,,True,True,0.0037447903712917,0.0038981237210402,0.9606648324369742,-0.0001942204869487,-0.0003995100190099,0.4861467240047903,,,,,,,,,,,False,False,51.07,2022-04-29
450,2022-04-11,DG,2022-04-04,0.2289914216706919,2022-01-07,2022-03-24,76,2,3.851259881829791,0.2289914216706919,48,240.14,0.0594578339133049,3,232.77,2022-02-24,185.15,2022-01-07,240.14,0.2289914216706919,48 days,2022-03-24,218.93,2022-03-21,232.77,0.0594578339133049,3 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0065159523166544,0.0065159523166544,1.0,-0.0004204168572898,-0.0004204168572898,1.0,False,80.91822094691535,86.53,73.1,,,,,,,True,False,237.53,2022-04-29
470,2022-05-02,DNOW,2022-04-04,0.4245998315080033,2021-05-10,2022-04-25,350,6,3.4641207077184184,0.4245998315080033,133,11.87,0.1225697379543533,5,11.83,2021-09-20,6.83,2021-05-10,11.87,0.4245998315080033,133 days,2021-10-26,7.0,2021-10-21,9.52,0.2647058823529411,5 days,2021-12-20,7.66,2021-11-16,10.32,0.2577519379844961,34 days,2022-03-18,9.76,2022-03-08,11.5,0.1513043478260869,10 days,2022-04-07,10.06,2022-04-04,11.51,0.1259774109470025,3 days,2022-04-25,10.38,2022-04-20,11.83,0.1225697379543533,5 days,True,True,0.0025151066125055,0.0025816341775798,0.9742304445563864,3.394235925062292e-06,0.0001082161866888,0.0313653255480363,,,,,,,,,,,False,False,10.9,2022-04-29
476,2022-05-02,DRH,2022-04-04,0.2723174030658251,2021-11-08,2022-04-25,168,4,5.729224039847762,0.2723174030658251,24,11.09,0.0475302889095992,4,10.73,2021-12-02,8.07,2021-11-08,11.09,0.2723174030658251,24 days,2022-01-28,8.34,2022-01-12,10.2,0.1823529411764705,16 days,2022-04-11,8.86,2022-03-29,10.68,0.1704119850187266,13 days,2022-04-25,10.22,2022-04-21,10.73,0.0475302889095992,4 days,,,,,,,,,,,,,True,True,0.0010557069336008,0.001488141253151,0.709413122823817,-7.560228184506765e-06,-0.0001136748843485,0.066507463172993,,,,,,,,,,,False,False,10.62,2022-04-29
478,2022-04-18,DRQ,2022-04-08,0.2127091923356778,2022-03-11,2022-04-11,31,3,2.973858531814954,0.2127091923356778,18,41.23,0.0715253318883769,3,36.91,2022-03-29,32.46,2022-03-11,41.23,0.2127091923356778,18 days,2022-04-07,33.66,2022-04-04,38.99,0.1367017183893307,3 days,2022-04-11,34.27,2022-04-08,36.91,0.0715253318883769,3 days,,,,,,,,,,,,,,,,,,,True,True,0.0042540728931374,0.0042585669348973,0.998944705618454,-0.0028049849242624,-0.0032263705024,0.8693933081076467,,,,,,,,,,,False,False,28.88,2022-04-29
507,2022-05-02,EHC,2022-04-04,0.3598120128381475,2021-05-13,2022-04-27,349,3,2.784789056508577,0.3598120128381475,203,87.24,0.1292052003752848,13,74.61,2021-12-02,55.85,2021-05-13,87.24,0.3598120128381475,203 days,2022-02-04,58.71,2022-01-05,68.54,0.1434199007878611,30 days,2022-04-27,64.97,2022-04-14,74.61,0.1292052003752848,13 days,,,,,,,,,,,,,,,,,,,True,True,0.0011075695560949,0.0011298668216035,0.9802655807903342,-0.0003454347545556,-0.0005174641353164,0.6675530360077878,,,,,,,,,,,False,False,68.83,2022-04-29
521,2022-04-07,ENSG,2022-04-04,0.2478510028653294,2021-04-22,2022-03-24,336,5,4.767679856019028,0.2478510028653294,187,90.74,0.0519846639603068,3,88.68,2021-10-26,68.25,2021-04-22,90.74,0.2478510028653294,187 days,2022-02-04,70.59,2022-01-04,86.7,0.1858131487889273,31 days,2022-02-24,75.9,2022-02-18,81.12,0.0643491124260354,6 days,2022-03-14,83.2,2022-03-09,88.82,0.0632740373789686,5 days,2022-03-24,84.07,2022-03-21,88.68,0.0519846639603068,3 days,,,,,,,True,True,0.001034108968424,0.0014706152742962,0.7031811694727099,-3.0815212128395025e-05,-0.0001384713985784,0.2225384624171704,,,,,,,,,,,False,False,80.33,2022-04-29
524,2022-05-02,ENV,2022-04-04,0.2434003953948132,2021-10-26,2022-04-27,183,2,3.3257712679740647,0.2434003953948132,119,85.99,0.0731851501537006,8,84.58,2022-02-22,65.06,2021-10-26,85.99,0.2434003953948132,119 days,2022-04-27,78.39,2022-04-19,84.58,0.0731851501537006,8 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0032013718106363,0.0032013718106363,1.0,-9.369860282757118e-05,-9.369860282757118e-05,1.0,,,,,,,,,,,False,False,79.64,2022-04-29
544,2022-04-18,ESTE,2022-04-04,0.260641781270465,2022-01-18,2022-04-11,83,4,2.6081769307510543,0.260641781270465,6,15.27,0.0999315537303215,6,14.61,2022-01-24,11.29,2022-01-18,15.27,0.260641781270465,6 days,2022-03-15,11.35,2022-03-08,14.9,0.238255033557047,7 days,2022-03-29,12.55,2022-03-25,14.12,0.1111898016997166,4 days,2022-04-11,13.15,2022-04-05,14.61,0.0999315537303215,6 days,,,,,,,,,,,,,True,True,0.0012785400435864,0.0019515017412694,0.6551570088555168,-0.0005002029526598,-0.0007588668142503,0.6591445867270442,,,,,,,,,,,False,False,13.49,2022-04-29
