,MM_Stage2Filtered,RSSCORE,RSSCORE_D1,RSSCORE_D5,RSSCORE_D10,RSSCORE_D15,RSSCORE_D20,SCTRSCORE,SCTRSCORE_D1,SCTRSCORE_D5,SCTRSCORE_D10,SCTRSCORE_D15,SCTRSCORE_D20,MRSQUARE,MRSQUARE_D1,MRSQUARE_D5,MRSQUARE_D10,MRSQUARE_D15,MRSQUARE_D20,RSSCORE_SECTOR_RANK,SCTRSCORE_SECTOR_RANK,MRSQUARE_SECTOR_RANK,TR.GICSINDUSTRY,TR.GICSINDUSTRYGROUP,TR.GICSSECTOR,RSSCORE_SECTOR_MEDIAN,SCTRSCORE_SECTOR_MEDIAN,MRSQUARE_SECTOR_MEDIAN,RSSCORE_SECTOR_BEST,SCTRSCORE_SECTOR_BEST,MRSQUARE_SECTOR_BEST
CHE,False,74.90421455938697,2.5383141762452084,4.932950191570882,4.214559386973178,-3.927203065134094,2.6819923371647576,77.76,1.9100000000000108,2.680000000000007,5.740000000000009,-10.519999999999996,-3.489999999999995,78.8,1.1999999999999886,2.5999999999999943,2.799999999999997,8.400000000000006,19.1,59.0,48.0,78.0,Health Care Providers & Services,Health Care Equipment & Services,Health Care,37.78735632183909,25.44,56.39999999999999,LNTH,LNTH,LNTH
CHEF,False,92.09770114942528,1.4846743295019138,6.800766283524908,26.24521072796935,32.61494252873563,31.94444444444445,92.4,2.5900000000000034,4.790000000000006,17.41000000000001,29.85000000000001,32.910000000000004,74.2,1.0,8.799999999999997,15.400000000000006,16.300000000000004,20.200000000000003,14.0,18.0,32.0,Food & Staples Retailing,Food & Staples Retailing,Consumer Staples,74.37739463601532,82.26,63.8,VERU,VERU,VERU
CHRW,False,90.08620689655172,-0.1915708812260561,20.162835249042143,21.503831417624525,25.86206896551724,17.480842911877403,88.19,-3.25,17.64999999999999,18.27,20.14,3.3499999999999943,82.8,3.0999999999999943,12.5,18.099999999999994,21.0,20.599999999999994,24.0,25.0,52.5,Air Freight & Logistics,Transportation,Industrials,51.053639846743295,49.88,47.7,CAR,CNR,AVAV
CI,False,85.87164750957854,1.4846743295019138,2.394636015325659,4.022988505747122,7.950191570881216,16.858237547892713,90.15,0.3800000000000096,1.440000000000012,1.8700000000000043,-0.0899999999999892,12.77000000000001,88.2,0.9000000000000057,6.900000000000006,13.0,16.80000000000001,16.0,37.0,25.0,43.0,Health Care Providers & Services,Health Care Equipment & Services,Health Care,37.78735632183909,25.44,56.39999999999999,LNTH,LNTH,LNTH
CPB,False,80.74712643678161,0.3831417624521123,7.519157088122611,11.15900383141762,17.145593869731798,24.329501915708818,91.87,-0.0499999999999971,4.210000000000008,10.0,15.450000000000005,29.360000000000007,72.2,2.500000000000014,10.400000000000006,19.3,25.700000000000003,21.6,35.0,21.0,37.0,Food Products,"Food, Beverage & Tobacco",Consumer Staples,74.37739463601532,82.26,63.8,VERU,VERU,VERU
CXW,False,95.11494252873564,-0.1915708812260561,-0.3352490421455911,-0.5268199233716473,10.96743295019158,8.477011494252878,97.56,-0.8100000000000023,-1.2399999999999949,-0.5300000000000011,6.019999999999996,4.3500000000000085,94.2,1.4999999999999858,14.499999999999986,30.599999999999987,41.899999999999984,53.899999999999984,10.0,5.0,15.0,Commercial Services & Supplies,Commercial  & Professional Services,Industrials,51.053639846743295,49.88,47.7,CAR,CNR,AVAV
DAR,False,76.772030651341,-2.5383141762452084,-6.561302681992345,-5.268199233716473,1.915708812260533,-8.955938697318004,62.79,-5.839999999999996,-10.949999999999996,-18.270000000000003,-3.250000000000007,-19.520000000000003,92.5,-0.1000000000000085,-1.1000000000000083,0.5999999999999943,-0.7000000000000028,1.0999999999999943,39.0,60.0,10.0,Food Products,"Food, Beverage & Tobacco",Consumer Staples,74.37739463601532,82.26,63.8,VERU,VERU,VERU
DCO,False,79.50191570881226,-0.8141762452107173,-2.6340996168582365,-1.6283524904214488,10.440613026819918,20.593869731800773,75.37,-4.449999999999989,-12.769999999999996,-10.379999999999995,2.200000000000003,6.170000000000002,94.1,-0.2999999999999971,0.0999999999999943,1.3999999999999917,2.0999999999999943,3.799999999999997,55.0,71.0,16.0,Aerospace & Defense,Capital Goods,Industrials,51.053639846743295,49.88,47.7,CAR,CNR,AVAV
DG,False,85.96743295019157,-0.8620689655172526,1.7720306513409838,3.687739463601531,8.572796934865892,32.47126436781608,87.76,-1.6700000000000017,-2.530000000000001,0.0,0.1500000000000056,18.75,94.6,0.4000000000000057,6.5,14.799999999999985,28.499999999999982,38.39999999999999,15.0,13.0,7.0,Multiline Retail,Retailing,Consumer Discretionary,31.369731800766285,38.16,37.05,DDS,MUSA,TEN
DNOW,False,91.95402298850574,0.4310344827586192,0.9099616858237454,0.9578544061302664,10.632183908045974,4.022988505747122,93.5,-1.7199999999999989,-3.5799999999999983,0.8599999999999994,16.650000000000006,1.730000000000004,91.8,0.5,1.5,4.299999999999997,2.0999999999999943,-0.8000000000000114,16.0,16.0,24.0,Trading Companies & Distributors,Capital Goods,Industrials,51.053639846743295,49.88,47.7,CAR,CNR,AVAV
DRH,False,88.31417624521073,-1.0536398467432946,5.316091954022994,18.63026819923371,33.62068965517242,17.241379310344826,88.81,-2.5799999999999983,2.299999999999997,15.590000000000003,37.02,14.680000000000009,72.0,1.4000000000000057,5.799999999999997,8.0,5.0,-1.0999999999999943,20.0,17.0,73.0,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,69.15708812260536,68.24,71.15,APTS,APTS,FPI
